Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
432946,406,8/31/2014 22:31,Mountain View Caltrain Station,28,8/31/2014 22:38,Castro Street and El Camino Real,32,17,Subscriber,94040
432945,468,8/31/2014 22:07,Beale at Market,56,8/31/2014 22:15,Market at 4th,76,509,Customer,11231
432944,534,8/31/2014 22:06,Beale at Market,56,8/31/2014 22:15,Market at 4th,76,342,Customer,11231
432942,1041,8/31/2014 21:45,Embarcadero at Sansome,60,8/31/2014 22:02,Steuart at Market,74,603,Customer,94521
432941,1091,8/31/2014 21:44,Embarcadero at Sansome,60,8/31/2014 22:02,Steuart at Market,74,598,Customer,94521
432940,1126,8/31/2014 21:44,Embarcadero at Sansome,60,8/31/2014 22:02,Steuart at Market,74,555,Customer,94521
432939,1135,8/31/2014 21:43,Embarcadero at Sansome,60,8/31/2014 22:02,Steuart at Market,74,425,Customer,94521
432938,1151,8/31/2014 21:43,Embarcadero at Sansome,60,8/31/2014 22:02,Steuart at Market,74,406,Customer,94521
432937,614,8/31/2014 21:42,Embarcadero at Sansome,60,8/31/2014 21:52,Harry Bridges Plaza (Ferry Building),50,542,Customer,35242
432936,617,8/31/2014 21:42,Embarcadero at Sansome,60,8/31/2014 21:52,Harry Bridges Plaza (Ferry Building),50,622,Customer,35242
432934,977,8/31/2014 21:41,2nd at Townsend,61,8/31/2014 21:57,South Van Ness at Market,66,466,Customer,32
432931,1035,8/31/2014 21:40,2nd at Townsend,61,8/31/2014 21:57,South Van Ness at Market,66,458,Customer,32
432930,378,8/31/2014 21:28,Market at Sansome,77,8/31/2014 21:35,Grant Avenue at Columbus Avenue,73,548,Subscriber,94133
432929,173,8/31/2014 21:14,Howard at 2nd,63,8/31/2014 21:16,Temporary Transbay Terminal (Howard at Beale),55,477,Subscriber,94108
432928,490,8/31/2014 21:06,Harry Bridges Plaza (Ferry Building),50,8/31/2014 21:14,2nd at Townsend,61,559,Subscriber,94107
432927,532,8/31/2014 21:06,Harry Bridges Plaza (Ferry Building),50,8/31/2014 21:15,2nd at Townsend,61,458,Customer,94107
432926,815,8/31/2014 20:47,San Francisco Caltrain (Townsend at 4th),70,8/31/2014 21:01,Embarcadero at Sansome,60,603,Subscriber,94111
432925,186,8/31/2014 20:37,Temporary Transbay Terminal (Howard at Beale),55,8/31/2014 20:40,Howard at 2nd,63,395,Subscriber,94108
432924,1007,8/31/2014 20:35,Grant Avenue at Columbus Avenue,73,8/31/2014 20:52,Market at 4th,76,590,Customer,44070
432923,1020,8/31/2014 20:35,Grant Avenue at Columbus Avenue,73,8/31/2014 20:52,Market at 4th,76,456,Customer,44070
432917,319,8/31/2014 20:15,Post at Kearny,47,8/31/2014 20:21,Temporary Transbay Terminal (Howard at Beale),55,395,Subscriber,94108
432916,489,8/31/2014 20:15,5th at Howard,57,8/31/2014 20:23,2nd at Townsend,61,366,Customer,32
432915,516,8/31/2014 20:14,5th at Howard,57,8/31/2014 20:23,2nd at Townsend,61,349,Customer,32
432912,398,8/31/2014 20:04,Powell Street BART,39,8/31/2014 20:11,5th at Howard,57,349,Customer,nil
432911,403,8/31/2014 20:04,Powell Street BART,39,8/31/2014 20:11,5th at Howard,57,466,Customer,nil
432908,823,8/31/2014 19:59,2nd at Townsend,61,8/31/2014 20:13,Embarcadero at Vallejo,48,521,Customer,94107
432907,982,8/31/2014 19:57,2nd at Townsend,61,8/31/2014 20:13,Embarcadero at Vallejo,48,402,Subscriber,94107
432906,10090,8/31/2014 19:47,Powell at Post (Union Square),71,8/31/2014 22:35,Powell at Post (Union Square),71,535,Customer,nil
432901,394,8/31/2014 19:39,Grant Avenue at Columbus Avenue,73,8/31/2014 19:46,Market at Sansome,77,327,Subscriber,94133
432900,710,8/31/2014 19:36,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:48,2nd at Townsend,61,402,Subscriber,94107
432899,616,8/31/2014 19:33,Washington at Kearny,46,8/31/2014 19:44,Powell at Post (Union Square),71,422,Customer,nil
432892,941,8/31/2014 19:16,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:32,South Van Ness at Market,66,318,Subscriber,94131
432891,1026,8/31/2014 19:16,Davis at Jackson,42,8/31/2014 19:33,Davis at Jackson,42,356,Customer,94111
432890,957,8/31/2014 19:16,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:32,South Van Ness at Market,66,600,Customer,94131
432889,1075,8/31/2014 19:16,Davis at Jackson,42,8/31/2014 19:34,Davis at Jackson,42,526,Customer,94111
432888,696,8/31/2014 19:15,Embarcadero at Vallejo,48,8/31/2014 19:27,5th at Howard,57,366,Customer,32
432887,711,8/31/2014 19:15,Embarcadero at Vallejo,48,8/31/2014 19:27,5th at Howard,57,330,Customer,32
432886,715,8/31/2014 19:15,Embarcadero at Vallejo,48,8/31/2014 19:27,5th at Howard,57,86,Customer,32
432885,1190,8/31/2014 19:11,San Francisco Caltrain (Townsend at 4th),70,8/31/2014 19:31,Market at 4th,76,317,Customer,94109
432884,623,8/31/2014 19:11,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:21,Embarcadero at Sansome,60,542,Customer,35242
432883,636,8/31/2014 19:11,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:21,Embarcadero at Sansome,60,425,Customer,35242
432882,824,8/31/2014 19:07,Powell Street BART,39,8/31/2014 19:21,San Francisco City Hall,58,546,Customer,98109
432881,844,8/31/2014 19:07,Powell Street BART,39,8/31/2014 19:21,San Francisco City Hall,58,333,Customer,98109
432880,1547,8/31/2014 19:04,Embarcadero at Vallejo,48,8/31/2014 19:30,Washington at Kearny,46,422,Customer,nil
432879,1533,8/31/2014 19:04,Embarcadero at Vallejo,48,8/31/2014 19:30,Washington at Kearny,46,277,Customer,nil
432877,987,8/31/2014 18:58,Powell at Post (Union Square),71,8/31/2014 19:15,Davis at Jackson,42,356,Customer,94111
432876,997,8/31/2014 18:58,Powell at Post (Union Square),71,8/31/2014 19:14,Davis at Jackson,42,526,Customer,94111
432875,1589,8/31/2014 18:53,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2014 19:20,Embarcadero at Sansome,60,434,Customer,98004
432874,1603,8/31/2014 18:53,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2014 19:20,Embarcadero at Sansome,60,598,Customer,98004
432873,1353,8/31/2014 18:50,California Ave Caltrain Station,36,8/31/2014 19:13,San Antonio Caltrain Station,29,146,Customer,94040
432872,1381,8/31/2014 18:50,California Ave Caltrain Station,36,8/31/2014 19:13,San Antonio Caltrain Station,29,638,Customer,94040
432871,7880,8/31/2014 18:50,Embarcadero at Bryant,54,8/31/2014 21:01,Embarcadero at Folsom,51,281,Customer,91750
432868,333,8/31/2014 18:47,Broadway St at Battery St,82,8/31/2014 18:52,Steuart at Market,74,283,Subscriber,94710
432865,8170,8/31/2014 18:45,Embarcadero at Bryant,54,8/31/2014 21:01,Embarcadero at Folsom,51,265,Customer,91750
432864,1427,8/31/2014 18:45,2nd at Townsend,61,8/31/2014 19:09,San Francisco Caltrain (Townsend at 4th),70,317,Customer,94109
432861,330,8/31/2014 18:42,Embarcadero at Sansome,60,8/31/2014 18:48,Embarcadero at Vallejo,48,288,Customer,nil
432860,186,8/31/2014 18:41,Powell Street BART,39,8/31/2014 18:44,5th at Howard,57,584,Customer,94107
432859,465,8/31/2014 18:41,South Van Ness at Market,66,8/31/2014 18:49,Market at 4th,76,575,Subscriber,94109
432858,388,8/31/2014 18:39,5th at Howard,57,8/31/2014 18:45,Townsend at 7th,65,111,Subscriber,94103
432857,1192,8/31/2014 18:37,Powell at Post (Union Square),71,8/31/2014 18:57,Powell at Post (Union Square),71,356,Customer,94111
432856,1213,8/31/2014 18:36,Powell at Post (Union Square),71,8/31/2014 18:57,Powell at Post (Union Square),71,526,Customer,94111
432855,1078,8/31/2014 18:31,University and Emerson,35,8/31/2014 18:49,California Ave Caltrain Station,36,235,Customer,94040
432854,1101,8/31/2014 18:31,University and Emerson,35,8/31/2014 18:49,California Ave Caltrain Station,36,48,Customer,94040
432853,416,8/31/2014 18:30,Grant Avenue at Columbus Avenue,73,8/31/2014 18:37,Market at Sansome,77,548,Subscriber,94133
432852,6046,8/31/2014 18:30,2nd at South Park,64,8/31/2014 20:10,Embarcadero at Vallejo,48,569,Customer,91765
432851,900,8/31/2014 18:29,Arena Green / SAP Center,14,8/31/2014 18:44,San Salvador at 1st,8,175,Customer,95112
432850,1748,8/31/2014 18:27,Harry Bridges Plaza (Ferry Building),50,8/31/2014 18:56,2nd at Townsend,61,593,Subscriber,94107
432849,6323,8/31/2014 18:25,2nd at South Park,64,8/31/2014 20:11,Embarcadero at Vallejo,48,613,Customer,92651
432848,1091,8/31/2014 18:26,Arena Green / SAP Center,14,8/31/2014 18:44,San Salvador at 1st,8,31,Customer,95112
432847,1091,8/31/2014 18:25,Arena Green / SAP Center,14,8/31/2014 18:44,San Salvador at 1st,8,257,Customer,95112
432846,1486,8/31/2014 18:25,Washington at Kearny,46,8/31/2014 18:50,Townsend at 7th,65,394,Subscriber,94107
432845,1552,8/31/2014 18:25,Washington at Kearny,46,8/31/2014 18:51,Townsend at 7th,65,325,Customer,60614
432844,192,8/31/2014 18:24,5th at Howard,57,8/31/2014 18:27,Powell Street BART,39,450,Customer,94107
432843,1248,8/31/2014 18:24,Embarcadero at Folsom,51,8/31/2014 18:45,2nd at Folsom,62,659,Customer,22042
432842,375,8/31/2014 18:23,Embarcadero at Sansome,60,8/31/2014 18:29,Harry Bridges Plaza (Ferry Building),50,600,Subscriber,94131
432841,1273,8/31/2014 18:19,Castro Street and El Camino Real,32,8/31/2014 18:40,San Antonio Shopping Center,31,305,Customer,60611
432839,1593,8/31/2014 18:15,5th at Howard,57,8/31/2014 18:42,Embarcadero at Vallejo,48,330,Customer,nil
432838,1267,8/31/2014 18:15,5th at Howard,57,8/31/2014 18:36,Embarcadero at Sansome,60,288,Customer,nil
432836,1515,8/31/2014 18:10,Davis at Jackson,42,8/31/2014 18:35,Powell at Post (Union Square),71,356,Customer,94111
432834,2047,8/31/2014 18:10,Embarcadero at Bryant,54,8/31/2014 18:44,2nd at Townsend,61,317,Customer,94109
432833,1352,8/31/2014 18:10,Davis at Jackson,42,8/31/2014 18:32,Powell at Post (Union Square),71,526,Customer,94111
432832,1571,8/31/2014 18:08,Grant Avenue at Columbus Avenue,73,8/31/2014 18:34,San Francisco City Hall,58,338,Customer,91306
432831,1593,8/31/2014 18:08,Grant Avenue at Columbus Avenue,73,8/31/2014 18:34,San Francisco City Hall,58,137,Customer,91306
432830,1566,8/31/2014 18:07,Grant Avenue at Columbus Avenue,73,8/31/2014 18:33,San Francisco City Hall,58,672,Customer,95070
432829,1562,8/31/2014 18:07,Grant Avenue at Columbus Avenue,73,8/31/2014 18:33,San Francisco City Hall,58,393,Customer,94122
432827,8917,8/31/2014 17:57,Harry Bridges Plaza (Ferry Building),50,8/31/2014 20:25,Harry Bridges Plaza (Ferry Building),50,630,Customer,94591
432826,2046,8/31/2014 17:55,Post at Kearny,47,8/31/2014 18:29,Embarcadero at Sansome,60,502,Customer,94521
432824,9071,8/31/2014 17:55,Harry Bridges Plaza (Ferry Building),50,8/31/2014 20:26,Harry Bridges Plaza (Ferry Building),50,280,Customer,14094
432821,394,8/31/2014 17:53,Davis at Jackson,42,8/31/2014 17:59,Post at Kearny,47,395,Subscriber,94111
432820,2191,8/31/2014 17:52,Post at Kearny,47,8/31/2014 18:29,Embarcadero at Sansome,60,471,Customer,94521
432819,6021,8/31/2014 17:52,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:32,Harry Bridges Plaza (Ferry Building),50,273,Customer,94014
432818,675,8/31/2014 17:51,Market at 4th,76,8/31/2014 18:02,Grant Avenue at Columbus Avenue,73,672,Customer,44070
432817,689,8/31/2014 17:50,Market at 4th,76,8/31/2014 18:02,Grant Avenue at Columbus Avenue,73,548,Customer,44070
432816,2365,8/31/2014 17:49,Post at Kearny,47,8/31/2014 18:29,Embarcadero at Sansome,60,391,Customer,94521
432815,6168,8/31/2014 17:49,Harry Bridges Plaza (Ferry Building),50,8/31/2014 19:32,Harry Bridges Plaza (Ferry Building),50,259,Customer,94014
